epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,795.138,0.41158,2.10704,1.05768,0.59385,0.2529,0.30711,0.23488,0.57188,3.33341,0.96225,0.000801011,0.000801011,0.000801011
14,850.007,0.43446,1.99598,1.05132,0.45375,0.29318,0.33504,0.30626,0.49513,3.29941,0.87352,0.000792012,0.000792012,0.000792012
15,904.23,0.41878,1.93107,1.04363,0.55551,0.33254,0.30159,0.19858,0.92743,3.7486,1.33293,0.000783013,0.000783013,0.000783013
16,959.259,0.41372,1.90083,1.04483,0.2573,0.32823,0.34185,0.28795,0.5392,3.24837,0.88747,0.000774013,0.000774013,0.000774013
17,1014.13,0.37149,1.74621,1.00591,0.5334,0.50056,0.48115,0.4301,0.44893,3.03603,0.76031,0.000765014,0.000765014,0.000765014
18,1071.94,0.38306,1.76144,1.00335,0.49716,0.40345,0.4212,0.32883,0.56632,3.37028,0.95259,0.000756015,0.000756015,0.000756015
19,1127.47,0.36091,1.65589,1.03796,0.35674,0.43797,0.534,0.45097,0.44013,3.12322,0.77068,0.000747016,0.000747016,0.000747016
20,1184.9,0.4178,1.66222,1.04739,0.56492,0.48368,0.57565,0.55185,0.42828,2.76585,0.73911,0.000738017,0.000738017,0.000738017
21,1242.36,0.36034,1.51425,0.98163,0.57565,0.60733,0.64482,0.59772,0.41797,2.57593,0.72175,0.000729018,0.000729018,0.000729018
22,1298.34,0.37999,1.51788,1.01424,0.38698,0.68197,0.61425,0.54478,0.46066,2.83943,0.7695,0.000720019,0.000720019,0.000720019
23,1353.35,0.38294,1.54518,0.98698,0.62895,0.64626,0.63744,0.56165,0.35706,2.81457,0.60153,0.00071102,0.00071102,0.00071102
24,1408.22,0.39813,1.47784,1.00359,0.46246,0.77818,0.60826,0.58431,0.36364,2.21587,0.64304,0.000702021,0.000702021,0.000702021
25,1464.46,0.36624,1.44704,0.98498,0.55889,0.72609,0.68769,0.63153,0.38939,2.15224,0.6759,0.000693022,0.000693022,0.000693022
26,1519.94,0.33359,1.44106,0.97065,0.52029,0.69592,0.68817,0.62283,0.42708,2.16351,0.68334,0.000684022,0.000684022,0.000684022
27,1574.64,0.32404,1.34167,0.97746,0.58591,0.52381,0.5139,0.44802,0.44415,2.26183,0.71231,0.000675023,0.000675023,0.000675023
28,1632.64,0.33023,1.39201,0.97279,0.87213,0.45238,0.60921,0.55651,0.443,2.36323,0.76757,0.000666024,0.000666024,0.000666024
29,1687.56,0.35057,1.34266,0.98695,0.43532,0.66919,0.61366,0.58589,0.42336,2.62711,0.72484,0.000657025,0.000657025,0.000657025
30,1742.24,0.34147,1.31008,0.96858,0.65153,0.61003,0.62981,0.59194,0.44363,2.52104,0.73137,0.000648026,0.000648026,0.000648026
31,1798.06,0.33741,1.29646,0.9775,0.56696,0.69388,0.66922,0.61549,0.46702,2.24674,0.76347,0.000639027,0.000639027,0.000639027
32,1854.77,0.3559,1.34301,0.96361,0.36316,0.67015,0.45806,0.39962,0.53547,2.56719,0.82575,0.000630028,0.000630028,0.000630028
33,1912.59,0.31606,1.21827,0.9688,0.38777,0.6194,0.52146,0.46495,0.51292,2.47785,0.82884,0.000621029,0.000621029,0.000621029
34,1968.35,0.33537,1.26886,0.9574,0.81602,0.64021,0.74657,0.6844,0.48639,2.17314,0.80461,0.00061203,0.00061203,0.00061203
35,2022.25,0.3353,1.24396,0.97546,0.63218,0.69867,0.74287,0.69813,0.38946,2.35757,0.6915,0.000603031,0.000603031,0.000603031
36,2076.53,0.31778,1.12773,0.98461,0.62539,0.76187,0.7099,0.69716,0.33024,2.28325,0.61491,0.000594031,0.000594031,0.000594031
37,2129.46,0.32216,1.20506,0.97896,0.62745,0.75749,0.75513,0.75135,0.32441,2.00054,0.6097,0.000585032,0.000585032,0.000585032
38,2175.12,0.30368,1.21803,0.95019,0.4853,0.77736,0.82565,0.80837,0.32494,2.02808,0.60077,0.000576033,0.000576033,0.000576033
39,2220.11,0.28164,1.06183,0.94593,0.65458,0.72959,0.82824,0.78111,0.38329,2.10071,0.64779,0.000567034,0.000567034,0.000567034
40,2264.9,0.30388,1.09028,0.94104,0.51374,0.80201,0.84713,0.76697,0.54692,2.1706,0.80147,0.000558035,0.000558035,0.000558035
41,2309.67,0.29582,1.06279,0.94571,0.76279,0.7543,0.88994,0.76913,0.65393,2.00444,0.92207,0.000549036,0.000549036,0.000549036
42,2354.43,0.3176,1.06904,0.96408,0.77691,0.74431,0.87151,0.78441,0.61533,1.86875,0.8925,0.000540037,0.000540037,0.000540037
43,2401.71,0.29289,1.00777,0.96498,0.74066,0.82505,0.87314,0.796,0.45588,1.87672,0.73959,0.000531038,0.000531038,0.000531038
44,2446.76,0.30044,1.01538,0.97112,0.73597,0.85077,0.87468,0.80593,0.40555,1.99916,0.65573,0.000522039,0.000522039,0.000522039
45,2491.22,0.29163,1.01174,0.95149,0.71344,0.75662,0.83158,0.78578,0.32683,2.00424,0.61769,0.00051304,0.00051304,0.00051304
46,2536.62,0.31405,1.03713,0.96751,0.71728,0.78934,0.8507,0.82861,0.30112,1.84633,0.59145,0.00050404,0.00050404,0.00050404
47,2581.96,0.28968,0.99112,0.94369,0.78037,0.68635,0.84891,0.8217,0.29213,1.81532,0.58192,0.000495041,0.000495041,0.000495041
48,2627.15,0.27255,0.93026,0.93598,0.75675,0.72246,0.86804,0.85109,0.29171,1.78142,0.59146,0.000486042,0.000486042,0.000486042
49,2672.24,0.29928,1.00212,0.96309,0.64713,0.73371,0.88021,0.87171,0.29708,1.97808,0.58703,0.000477043,0.000477043,0.000477043
50,2717.48,0.29224,1.00042,0.94105,0.77301,0.69182,0.91139,0.89932,0.28727,1.82485,0.58106,0.000468044,0.000468044,0.000468044
51,2762.26,0.30517,1.04672,0.95009,0.80662,0.55921,0.81747,0.76168,0.33842,1.81366,0.67209,0.000459045,0.000459045,0.000459045
52,2807.04,0.31439,0.97446,0.95939,0.72566,0.63435,0.83016,0.75768,0.38047,1.7258,0.71806,0.000450046,0.000450046,0.000450046
53,2852.27,0.25029,0.9593,0.92532,0.63211,0.7801,0.80025,0.74069,0.42059,1.58408,0.75384,0.000441047,0.000441047,0.000441047
54,2897.32,0.30417,0.92173,0.94749,0.59783,0.88958,0.88884,0.81438,0.42171,1.60762,0.71762,0.000432048,0.000432048,0.000432048
55,2942.52,0.25206,0.91302,0.93302,0.74027,0.90221,0.91129,0.83913,0.44054,1.58978,0.73172,0.000423049,0.000423049,0.000423049
56,2987.12,0.30003,0.90185,0.96347,0.80664,0.7354,0.88862,0.83139,0.38563,1.6366,0.67788,0.000414049,0.000414049,0.000414049
57,3031.63,0.26858,0.86644,0.93245,0.84736,0.7078,0.78274,0.70849,0.36135,1.8037,0.64385,0.00040505,0.00040505,0.00040505
58,3076.41,0.24417,0.80551,0.91451,0.81887,0.68886,0.76018,0.71717,0.35148,1.88905,0.63852,0.000396051,0.000396051,0.000396051
59,3121.08,0.27963,0.88614,0.93994,0.78125,0.73954,0.78341,0.74105,0.33124,1.77365,0.62207,0.000387052,0.000387052,0.000387052
60,3168.11,0.28066,0.87589,0.91852,0.69643,0.76065,0.81303,0.75238,0.35334,1.86784,0.64528,0.000378053,0.000378053,0.000378053
61,3213.1,0.2828,0.82071,0.95415,0.56189,0.86423,0.75867,0.70708,0.38736,2.02887,0.68408,0.000369054,0.000369054,0.000369054
62,3258.02,0.25272,0.7447,0.94613,0.58538,0.81677,0.7344,0.71885,0.31746,1.92468,0.61707,0.000360055,0.000360055,0.000360055
63,3302.86,0.2718,0.87327,0.9279,0.59815,0.78473,0.71333,0.68886,0.29674,1.97164,0.59045,0.000351056,0.000351056,0.000351056
64,3348.68,0.26115,0.75627,0.93163,0.64138,0.76056,0.78503,0.77587,0.29055,1.90993,0.58461,0.000342057,0.000342057,0.000342057
65,3393.76,0.26332,0.82799,0.94187,0.56115,0.82143,0.82299,0.80264,0.27892,1.8286,0.58278,0.000333058,0.000333058,0.000333058
66,3438.32,0.24993,0.76042,0.93662,0.64312,0.75209,0.75202,0.74064,0.28624,1.85825,0.59985,0.000324058,0.000324058,0.000324058
67,3483.08,0.28395,0.7984,0.9489,0.66589,0.7239,0.83749,0.81878,0.29666,1.8119,0.60857,0.000315059,0.000315059,0.000315059
68,3534.48,0.25304,0.7186,0.94062,0.6198,0.78333,0.85523,0.83593,0.26619,1.76311,0.55824,0.00030606,0.00030606,0.00030606
69,3600.23,0.25162,0.71461,0.92495,0.68535,0.80906,0.78844,0.78133,0.24592,1.77206,0.53034,0.000297061,0.000297061,0.000297061
70,3655.81,0.24679,0.74313,0.91522,0.71957,0.77255,0.7732,0.7695,0.27987,1.68873,0.545,0.000288062,0.000288062,0.000288062
71,3712.75,0.24496,0.72984,0.9389,0.69541,0.78912,0.76476,0.74939,0.30561,1.66646,0.57666,0.000279063,0.000279063,0.000279063
72,3768.76,0.2519,0.7036,0.91571,0.72211,0.7856,0.76029,0.74524,0.30142,1.69314,0.57643,0.000270064,0.000270064,0.000270064
73,3824.91,0.27528,0.76592,0.93406,0.66882,0.80238,0.77965,0.76873,0.31094,1.73129,0.58543,0.000261065,0.000261065,0.000261065
74,3879.68,0.26949,0.78528,0.943,0.61132,0.83863,0.789,0.77084,0.30686,1.75526,0.58494,0.000252066,0.000252066,0.000252066
75,3935.09,0.25405,0.69902,0.93073,0.65828,0.85567,0.7892,0.78903,0.2793,1.70322,0.54851,0.000243067,0.000243067,0.000243067
76,3992.86,0.23466,0.7324,0.90812,0.82516,0.78778,0.83852,0.83784,0.25811,1.55636,0.52167,0.000234068,0.000234068,0.000234068
77,4047.68,0.2364,0.737,0.91222,0.87247,0.77427,0.92524,0.92095,0.24624,1.4314,0.51149,0.000225068,0.000225068,0.000225068
78,4104.08,0.21647,0.70497,0.90543,0.88923,0.80817,0.91936,0.91838,0.23923,1.39029,0.49834,0.000216069,0.000216069,0.000216069
79,4158.41,0.23209,0.63825,0.92332,0.84078,0.8502,0.91131,0.90359,0.25712,1.4406,0.5224,0.00020707,0.00020707,0.00020707
80,4211.03,0.24086,0.67352,0.92465,0.85899,0.82515,0.89733,0.89139,0.25624,1.43027,0.5195,0.000198071,0.000198071,0.000198071
81,4255.91,0.24793,0.73416,0.92442,0.77716,0.84954,0.92549,0.92549,0.25269,1.38029,0.50617,0.000189072,0.000189072,0.000189072
82,4300.48,0.24458,0.74484,0.92927,0.76491,0.86453,0.84478,0.84478,0.26022,1.38083,0.51556,0.000180073,0.000180073,0.000180073
83,4345.87,0.26759,0.7193,0.96215,0.80738,0.84317,0.88279,0.86857,0.27151,1.35849,0.51982,0.000171074,0.000171074,0.000171074
84,4390.83,0.25183,0.675,0.95518,0.83916,0.80269,0.88001,0.8598,0.27797,1.37831,0.51854,0.000162075,0.000162075,0.000162075
85,4435.49,0.22159,0.66959,0.90256,0.85247,0.79876,0.86966,0.86656,0.24278,1.43189,0.48263,0.000153076,0.000153076,0.000153076
86,4480.4,0.23192,0.65845,0.91621,0.77835,0.84879,0.86593,0.85774,0.24637,1.49073,0.48231,0.000144077,0.000144077,0.000144077
87,4525.39,0.24402,0.72551,0.94621,0.76289,0.84951,0.8553,0.83344,0.29231,1.54633,0.54174,0.000135077,0.000135077,0.000135077
88,4570.24,0.25066,0.7128,0.91498,0.76086,0.83343,0.85152,0.8278,0.30502,1.53151,0.56631,0.000126078,0.000126078,0.000126078
89,4614.89,0.23094,0.64569,0.91024,0.77066,0.80102,0.86181,0.82032,0.29626,1.52267,0.55961,0.000117079,0.000117079,0.000117079
90,4659.6,0.22103,0.63583,0.91694,0.78586,0.80455,0.86987,0.83676,0.27724,1.50966,0.53242,0.00010808,0.00010808,0.00010808
91,4704.38,0.25406,1.48032,1.05232,0.76834,0.82205,0.85698,0.84441,0.25924,1.6171,0.50449,9.9081e-05,9.9081e-05,9.9081e-05
92,4752.87,0.26728,1.33217,1.07782,0.66876,0.87208,0.86584,0.85842,0.28456,2.04281,0.52902,9.00819e-05,9.00819e-05,9.00819e-05
93,4801.14,0.16129,1.17869,0.92839,0.80875,0.63768,0.78945,0.78647,0.27058,2.55103,0.53077,8.10828e-05,8.10828e-05,8.10828e-05
94,4846.98,0.16932,1.18934,0.96901,0.67689,0.80102,0.80119,0.79906,0.23549,2.33612,0.50208,7.20837e-05,7.20837e-05,7.20837e-05
95,4890.14,0.19052,1.11952,0.9984,0.7508,0.77721,0.75008,0.75008,0.21855,1.95264,0.46157,6.30846e-05,6.30846e-05,6.30846e-05
96,4933.52,0.13848,0.9332,0.91691,0.75815,0.80102,0.75557,0.75557,0.2045,1.88345,0.43246,5.40855e-05,5.40855e-05,5.40855e-05
97,4977.91,0.17151,0.90196,0.98559,0.75616,0.7948,0.76237,0.76237,0.19891,1.90469,0.42228,4.50864e-05,4.50864e-05,4.50864e-05
98,5022.07,0.19471,0.92591,1.0424,0.75602,0.77306,0.75972,0.75972,0.20127,1.88976,0.42604,3.60873e-05,3.60873e-05,3.60873e-05
99,5066.14,0.16882,0.98432,1.02448,0.75301,0.76972,0.75087,0.75087,0.20267,1.872,0.43377,2.70882e-05,2.70882e-05,2.70882e-05
100,5110.85,0.15498,0.90744,0.94796,0.75706,0.76878,0.74632,0.74632,0.19968,1.87176,0.43214,1.80891e-05,1.80891e-05,1.80891e-05
